A-1
 A2
 A2/a
 A2/m
 A2/n
 A2mm
 A2_122
 A2_1am
 A2_1ma
 Aa
 Aba2
 Abm2
 Abma
 Abmm
 Acam
 Acmm
 Ama2
 Amaa
 Amam
 Amm2
 Amma
 Ammm
 B-1
 B2
 B2/b
 B2/m
 B2/n
 B2mb
 B2_1
 B2_1/d
 B2_1/m
 Bb
 Bb2_1m
 Bba2
 Bbam
 Bbcm
 Bbmm
 Bm
 Bm2m
 Bmab
 Bmam
 Bmmb
 C-1
 C-42b
 C1
 C2
 C2/a
 C2/c
 C2/m
 C222
 C222_1
 C2cb
 C2_1
 C2_1/d
 Cc
 Ccc2
 Ccca
 Cccm
 Ccm2_1
 Ccmb
 Ccmm
 Cm
 Cm2a
 Cm2m
 Cmc2_1
 Cmca
 Cmcm
 Cmm2
 Cmma
 Cmmb
 Cmmm
 F-1
 F-43c
 F-43m
 F-4d2
 F1
 F2
 F2/d
 F2/m
 F23
 F2dd
 F2mm
 F4/mmm
 F4_132
 Fd
 Fd-3m
 Fd2d
 Fd3
 Fd3c
 Fd3m
 Fdd2
 Fddd
 Fm-3m
 Fm2m
 Fm3
 Fm3c
 Fm3m
 Fmm2
 Fmmm
 I-1
 I-4
 I-42d
 I-42m
 I-43d
 I-43m
 I-4c2
 I-4m2
 I2
 I2/a
 I2/b
 I2/c
 I2/m
 I222
 I23
 I2cm
 I2mb
 I2mm
 I2_1/a-3
 I2_12_12_1
 I2_13
 I4
 I4/m
 I4/mcm
 I4/mmm
 I422
 I432
 I4mm
 I4_1/a
 I4_1/acd
 I4_1/amd
 I4_122
 I4_132
 I4_1cd
 Ia
 Ia-3d
 Ia3
 Ia3d
 Ib
 Iba2
 Ibam
 Ibca
 Ibm2
 Ibmm
 Icma
 Im
 Im-3m
 Im2m
 Im3
 Im3m
 Ima2
 Imab
 Imam
 Imcb
 Imcm
 Imm2
 Imma
 Immm
 P-1
 P-3
 P-31c
 P-31m
 P-3c1
 P-3m1
 P-4
 P-42c
 P-42m
 P-42_1c
 P-42_1m
 P-43m
 P-43n
 P-4b2
 P-4m2
 P-4n2
 P-6
 P-62c
 P-62m
 P-6c2
 P-6m2
 P1
 P2
 P2/a
 P2/b
 P2/c
 P2/m
 P2/n
 P222
 P222_1
 P22_12_1
 P23
 P2an
 P2cm
 P2mm
 P2nn
 P2_1
 P2_1/a
 P2_1/b
 P2_1/c
 P2_1/m
 P2_1/n
 P2_122_1
 P2_12_12
 P2_12_12_1
 P2_13
 P2_1ab
 P2_1am
 P2_1ca
 P2_1cn
 P2_1ma
 P2_1mn
 P2_1nb
 P2_1nm
 P3
 P312
 P31c
 P31m
 P321
 P3c1
 P3m1
 P3_1
 P3_112
 P3_121
 P3_2
 P3_212
 P3_221
 P4
 P4/m
 P4/m-32/m
 P4/mbm
 P4/mcc
 P4/mmm
 P4/mnc
 P4/n
 P4/nbm
 P4/ncc
 P4/nmm
 P4/nnc
 P42_12
 P432
 P4bm
 P4mm
 P4nc
 P4_1
 P4_122
 P4_12_12
 P4_132
 P4_2
 P4_2/m
 P4_2/mbc
 P4_2/mcm
 P4_2/mmc
 P4_2/mnm
 P4_2/n
 P4_2/nbc
 P4_2/ncm
 P4_2/nmc
 P4_2/nnm
 P4_232
 P4_2mc
 P4_2nm
 P4_3
 P4_322
 P4_32_12
 P4_332
 P6/m
 P6/mcc
 P6/mmm
 P622
 P6_1
 P6_222
 P6_3
 P6_3/m
 P6_3/mcm
 P6_3/mmc
 P6_322
 P6_3cm
 P6_3mc
 P6_422
 P6_5
 P6_522
 Pa
 Pa3
 Pb
 Pb2_1m
 Pba2
 Pbaa
 Pbam
 Pban
 Pbc2_1
 Pbca
 Pbcb
 Pbcm
 Pbcn
 Pbm2
 Pbma
 Pbmm
 Pbmn
 Pbn2_1
 Pbna
 Pbnb
 Pbnm
 Pbnn
 Pc
 Pc2_1b
 Pc2_1n
 Pca2_1
 Pcab
 Pcam
 Pcan
 Pcca
 Pccn
 Pcm2_1
 Pcmb
 Pcmn
 Pcnb
 Pcnn
 Pm
 Pm-3m
 Pm2a
 Pm2m
 Pm3
 Pm3m
 Pm3n
 Pma2
 Pmab
 Pmam
 Pman
 Pmc2_1
 Pmcb
 Pmcn
 Pmm2
 Pmma
 Pmmm
 Pmmn
 Pmn2_1
 Pmna
 Pmnb
 Pmnm
 Pmnn
 Pn
 Pn2n
 Pn2_1a
 Pn2_1m
 Pn3
 Pn3m
 Pn3n
 Pna2_1
 Pnaa
 Pnab
 Pnam
 Pnan
 Pnc2
 Pnca
 Pncb
 Pncm
 Pncn
 Pnm2_1
 Pnma
 Pnmb
 Pnmm
 Pnmn
 Pnn2
 Pnna
 Pnnm
 R-3
 R-32/c
 R-3c
 R-3m
 R3
 R32
 R3c
 R3m
